Topic	Count	CustomName	
0	12342	 Energy-Efficient Lighting Systems
1	9827	Indoor Air Quality and Health
2	8643	Energy Efficiency in Buildings
3	8160	Urban planning and development
4	7582	 Mitigating Urban Heat Islands in Arid Climates
5	6565	Urban water resilience and climate change
6	5954	Urbanization and land use in China
7	5894	Design Education for Sustainability
8	5510	Renewable Energy Technologies
9	5486	Smart City Development and Technologies
10	4676	Vehicle Air Conditioning Systems
11	3368	Noise pollution and sound insulation in buildings
12	3307	Building Insulation Materials and Performance
13	3072	Thermal Comfort and Adaptation
14	3028	Green Roof Technology
15	2953	Nature-based urban planning
16	2524	 Holistic landscape planning and design
17	2419	Sustainable Building Practices
18	2303	Preservation of Architectural Heritage
19	2284	Building energy management and control
20	2095	Landscape design and ecology
21	2037	Traditional Architectural Heritage
22	1901	BIM Technology in Construction
23	1806	Optimizing Indoor Air Quality and Thermal Comfort through Ventilation
24	1691	Innovations in Construction Technology
25	1645	Thermal Energy Storage using Phase Change Materials
26	1508	Play spaces for children in urban environments
27	1449	Smart Home Technology using IoT
28	1335	Advances in air conditioning technologies
29	1292	Traditional Housing Space Comparison and Characteristics
30	1287	Sustainable Timber Construction
31	1282	Machine Learning and Communication Algorithms
32	1191	Solar Water Heating Systems
33	1090	Sustainable Urban Food Systems
34	1083	Occupancy sensing and detection technologies
35	1018	Sustainable building materials and their applications
36	1015	Accessibility and User-Friendly Design
37	944	Smart Parking Systems
38	937	 Sustainability in Construction and Building Materials
39	779	Cooling Load Prediction Models
40	769	Indoor Air Quality Monitoring using IoT Sensors
41	767	Innovative Structural Design in Bridge Construction
42	762	Future of Academic Libraries
43	751	Solar Cooling Systems and Energy Storage
44	738	Design and Modernity in Furniture and Interiors
45	734	Emerging Technologies in Construction
46	733	Urban public space management
47	715	Ground source heat pumps and energy systems
48	615	Fluid dynamics and heat transfer in cavities
49	553	Circular Economy in Construction
50	549	Data center cooling and energy consumption
51	521	Urban Planning and Development
